Iter	RA1	AS1	SH1	RA5	AS5	AH5	RA10	AS10	SH10	RA15	AS15	SH15	RA20	AS20	SH20	RA30	AS30	SH30	RA50	AS50	SH50
6800	5,11344	4,70039	4,71724	2,58524	2,09863	2,22531	2,00919	1,66369	1,60893	1,75511	1,49173	1,24146	1,73992	1,47994	1,23145	1,74423	1,7838	1,02549	1,74914	1,78373	1,02017
6900	5,16087	4,63742	4,83305	2,59739	2,11069	2,31994	1,99825	1,58652	1,58665	1,74075	1,48431	1,2466	1,73414	1,49589	1,24003	1,77021	1,82802	1,03116	1,74077	1,81634	1,02935
7000	5,18359	4,74868	5,11637	2,71655	2,10647	2,26575	2,06052	1,61153	1,62269	1,79231	1,5238	1,2537	1,80312	1,55179	1,26318	1,8239	1,87559	1,05556	1,82249	1,87066	1,06534
7100	5,27951	4,80634	4,9351	2,61632	2,11198	2,27777	2,06309	1,62787	1,65131	1,81284	1,5544	1,26282	1,79911	1,5478	1,26175	1,83334	1,90637	1,07512	1,83785	1,9208	1,07771
7200	5,37099	4,84116	5,03151	2,61992	2,12771	2,26599	2,07616	1,64852	1,65172	1,83928	1,59812	1,29959	1,8421	1,82779	1,45498	2,58955	2,10738	1,08659	1,89556	1,9882	1,11056
7300	6,30307	5,59673	5,56038	3,52808	2,39044	2,42911	2,21688	1,74016	1,73414	1,93187	1,67048	1,3364	1,91653	1,65368	1,32774	1,94433	2,05785	1,12273	1,96683	2,02662	1,10291
7400	5,56357	4,97739	5,16041	2,79127	2,22949	2,33631	2,12462	1,67893	1,68371	1,88582	1,61909	1,32062	1,91653	1,72076	1,31211	1,94724	2,01187	1,10716	1,91746	2,01609	1,08472
7500	5,619	5,04349	5,21075	2,72618	2,19049	2,34374	2,15129	1,77808	1,72464	1,92549	1,65572	1,3373	1,92873	1,66061	1,33513	1,95324	2,06721	1,10522	1,9546	2,06245	1,13647
7600	5,68014	5,11082	5,28838	2,77571	2,20202	2,33511	2,15578	1,72588	1,71455	1,9364	1,67673	1,32775	1,9174	1,68549	1,33814	1,98624	2,09776	1,13838	2,04184	2,11392	1,13876
7700	5,70718	5,16904	6,03322	2,89745	2,50361	2,62376	2,27528	1,75281	1,73681	2,08504	1,79682	1,39561	1,98478	1,76088	1,47925	2,20712	2,36455	1,28658	2,17186	2,21162	1,17618
7800	5,92617	5,34102	5,58659	2,84605	2,30642	2,43148	2,2567	1,79629	1,78952	2,0804	1,76334	1,48703	2,0419	1,8048	1,3965	2,05412	2,0216	1,27368	2,0904	2,22625	1,16041
7900	5,89145	5,34177	5,54031	2,81448	2,25263	2,39742	2,2352	1,76283	1,74427	2,09638	1,75354	1,51302	1,97666	1,74424	1,48242	2,04879	1,81031	1,34039	2,06963	2,21392	1,20802
8000	5,91591	5,37043	5,52283	2,82166	2,26515	2,38772	2,36468	1,93825	1,77395	2,1632	1,77518	1,67132	2,09302	1,78489	1,48361	2,14807	1,82688	1,40427	2,14151	2,32782	1,23462
8100	6,03215	5,37275	5,6667	2,87361	2,29039	2,43429	2,27432	1,80772	1,7783	2,23345	1,80399	1,69087	2,06193	1,80866	1,41299	2,06041	1,8192	1,49109	2,30072	2,35327	1,1988
8200	6,16892	5,57266	5,71237	2,86399	2,36942	2,49433	2,41382	1,83306	1,77574	2,28464	1,82318	1,7723	2,07377	1,8396	1,40089	2,06935	1,83891	1,39718	2,17977	2,573	1,31625
8300	6,21309	5,57622	5,7304	3,00014	2,31239	2,44387	2,33744	1,86425	1,81547	2,32854	1,91812	1,79091	2,09942	1,85961	1,42012	2,11949	1,89604	1,46197	2,26888	2,43639	1,21099
8400	6,27107	5,66818	5,85854	2,94893	2,32865	2,50724	2,4011	1,9571	1,86086	2,398	1,90275	1,80582	2,1867	1,89106	1,44872	2,16088	2,00004	1,43694	2,24774	2,4631	1,23667
8500	6,43846	5,66391	5,96777	2,92607	2,3271	2,45108	2,35707	1,8629	1,82382	2,3604	1,87749	1,82123	2,13302	1,88555	1,51437	2,13944	1,89995	1,44896	2,28573	2,49974	1,24518
8600	6,38244	5,71258	5,9864	2,94638	2,34255	2,50125	2,3962	1,91588	1,84562	2,41114	1,9411	1,84013	2,17855	1,96491	1,48023	2,21704	1,96318	1,47698	2,34231	2,5731	1,30117
8700	6,63073	5,93123	6,10809	2,99409	2,40007	2,52631	2,44933	1,93774	1,87444	2,45213	1,95296	1,88697	2,23162	1,9802	1,49113	2,22688	1,98828	1,49957	2,43717	2,65494	1,26698
8800	6,65049	5,97722	6,16012	3,00832	2,40599	2,54933	2,45054	1,95329	1,86607	2,45514	2,00597	1,8746	2,25036	2,04396	1,49753	2,28513	1,99044	1,48335	2,38304	2,63756	1,25836
8900	6,67421	5,96636	6,19151	2,99853	2,39206	2,55485	2,4728	1,95803	1,86772	2,43574	1,95133	1,86417	2,23627	2,15642	1,58001	2,30832	2,06121	1,50506	2,46874	2,72877	1,31287
9000	6,77616	6,01674	6,32989	3,03841	2,41491	2,57008	2,5258	1,99276	1,92169	2,48747	1,98609	1,88817	2,2971	2,07595	1,5094	2,31614	2,1003	1,50052	2,49296	2,7255	1,36699
9100	6,78455	6,05172	6,38181	3,06489	2,41547	2,59912	2,49832	2,02773	1,92044	2,50082	1,98412	1,88326	2,28964	2,074	1,51319	2,30704	2,11136	1,53535	2,47098	2,76171	1,31009
9200	6,8195	6,27012	6,38325	3,08369	2,48696	2,59103	2,51787	2,02889	1,90791	2,57222	2,07603	1,90759	2,35285	2,14925	1,52917	2,32712	2,1779	1,54902	2,5298	2,86745	1,3436
9300	6,95941	6,27847	6,50727	3,18046	2,54276	2,59269	2,54309	2,02752	1,96783	2,54394	2,04034	1,93442	2,45871	2,13157	1,52751	2,42467	2,18149	1,57628	2,59187	2,91082	1,3559
9400	7,08657	6,40121	6,64982	3,30698	2,63727	2,64364	2,64371	2,15401	2,04927	2,61657	2,08801	1,95905	2,44704	2,23268	1,60416	2,47223	2,22855	1,59698	2,67169	2,98049	1,37759
9500	7,2845	6,4846	6,78403	3,21856	2,54343	2,69714	2,68173	2,13623	2,01252	2,66574	2,13434	2,00887	2,5346	2,327	1,65498	2,54972	2,30701	1,64265	2,76852	3,15938	1,52432
9600	7,48381	6,64069	6,92596	3,29093	2,57522	2,71126	2,74345	2,30664	2,01521	2,7065	2,17151	2,03525	2,52741	2,32218	1,64758	2,54964	2,34209	1,68787	2,82874	3,2067	1,43148
9700	7,51238	6,71491	6,95536	3,2639	2,57995	2,80683	2,82885	2,16924	2,01941	2,68964	2,17455	2,03658	2,55979	2,32117	1,6723	2,53706	2,33459	1,6363	2,77516	3,15507	1,43894
9800	7,55742	6,71382	7,02881	3,26751	2,57533	2,69697	2,72696	2,17833	2,00825	2,70011	2,19244	2,02091	2,59032	2,35537	1,71601	2,5377	2,33264	1,65568	2,79654	3,2063	1,501
9900	7,49195	6,73754	7,02703	3,31057	2,6037	2,72221	2,79372	2,20566	2,0293	2,73555	2,19835	2,02882	2,57234	2,4441	1,65945	2,57258	2,6211	1,89104	3,07351	3,54125	1,57408
10000	7,73453	6,88957	7,09106	3,31111	2,62079	2,79733	2,87346	2,26572	2,06149	2,77333	2,25265	2,06283	2,67753	2,43096	1,69684	2,71734	2,56694	1,70676	2,92747	3,30115	1,4803
