Iter	RQ1	ASQ1	SHSQ1	RQ15	ASQ15	SHSQ15	RS	ASS	SHSS
12900	1,9092	1,0114	1,32063	1,78887	0,7834	1,15973	2,50553	1,2884	1,75057
13000	1,92567	1,02533	1,3256	1,80837	0,7886	1,16267	2,54917	1,4052	1,8203
13100	1,93687	1,0307	1,34003	1,82447	0,7998	1,15973	2,53807	1,39367	1,7788
13200	1,94287	1,05707	1,34733	1,84863	0,839733	1,17387	2,5775	1,31403	1,79733
13300	1,96647	1,05503	1,37097	1,8508	0,844633	1,20403	2,5929	1,4595	1,7992
13400	1,98133	1,0447	1,36677	1,8629	0,8314	1,20723	2,60513	1,34983	1,81393
13500	1,98747	1,07237	1,38107	1,92677	0,872333	1,22413	2,63767	1,3765	1,8303
13600	2,02013	1,07483	1,40883	1,88897	0,8531	1,21567	2,67693	1,3466	1,87227
13700	2,0315	1,0708	1,3976	1,91927	0,863967	1,21137	2,69027	1,32547	1,8767
13800	2,04683	1,09483	1,40967	1,93447	0,865567	1,41693	2,70423	1,3834	1,89263
13900	2,06807	1,09487	1,43813	2,0426	0,884267	1,27577	2,70883	1,31807	1,9119
14000	2,08213	1,1142	1,44697	2,27757	0,872267	1,2651	2,77543	1,48637	1,92493
14100	2,10083	1,12657	1,4568	1,9935	0,8878	1,2855	2,78643	1,47873	1,9587
14200	2,1346	1,11577	1,48197	2,00543	0,8968	1,28907	2,8257	1,46407	1,98063
14300	2,1518	1,12567	1,46867	2,03497	0,928033	1,31643	2,90393	1,44557	1,99733
14400	2,16473	1,1473	1,4874	2,05393	0,911833	1,3106	2,8304	1,49743	1,97567
14500	2,1749	1,1598	1,50543	2,03863	0,921233	1,32027	2,88673	1,48203	2,1012
14600	2,2696	1,198	1,59167	2,17207	0,943	1,38557	2,88933	1,41463	2,0287
14700	2,21177	1,18533	1,50453	2,08963	0,933067	1,34123	2,89087	1,56843	2,03727
14800	2,2369	1,16413	1,5136	2,09953	0,919167	1,327	2,95787	1,383	2,05177
14900	2,22103	1,1713	1,5647	2,114	0,9227	1,35663	2,943	1,50143	2,0507
15000	2,22347	1,18193	1,548	2,12263	0,926067	1,3465	2,95447	1,54677	2,05863
15100	2,26323	1,17453	1,5665	2,14367	0,906467	1,43337	2,9903	1,5999	2,08803
15200	2,29907	1,21043	1,58033	2,15507	0,939967	1,40207	3,00453	1,55733	2,10133
15300	2,28993	1,20347	1,58773	2,15827	0,938133	1,38663	3,026	1,61697	2,11933
15400	2,31807	1,21367	1,60763	2,18197	0,976067	1,41857	3,07293	1,54437	2,14327
15500	2,3225	1,22607	1,6214	2,18213	0,971	1,4292	3,07233	1,59997	2,16177
15600	2,33627	1,24023	1,6167	2,2042	0,992867	1,4153	3,0882	1,61277	2,15013
15700	2,3608	1,28153	1,62527	2,23083	1,0148	1,4051	3,10927	1,66667	2,1985
15800	2,3751	1,2503	1,63547	2,2397	0,9812	1,44363	3,15353	1,59797	2,1905
15900	2,3941	1,26627	1,63747	2,26367	0,994133	1,45263	3,15133	1,69053	2,20593
16000	2,40283	1,28013	1,6541	2,27177	1,0224	1,54823	3,22447	1,72323	2,22067
16100	2,42873	1,27487	1,66073	2,29577	0,997533	1,49073	3,23427	1,58697	2,2387
16200	2,4365	1,28677	1,7075	2,2989	1,003	1,4806	3,23393	1,70167	2,25593
16300	2,4621	1,29733	1,69007	2,30327	1,0017	1,48147	3,27713	1,7179	2,32593
16400	2,50217	1,3225	1,68927	2,3287	1,0631	1,48917	3,26383	1,6772	2,28963
16500	2,48257	1,30807	1,72693	2,3344	1,03507	1,50847	3,31827	1,6756	2,27027
16600	2,4946	1,33627	1,68227	2,35773	1,05263	1,50327	3,32123	1,79367	2,3158
16700	2,51353	1,33307	1,74367	2,38073	1,0573	1,52953	3,31643	1,90857	2,315
16800	2,53863	1,3608	1,75187	2,3963	1,0771	1,54683	3,35323	1,78313	2,3791
16900	2,5762	1,3883	1,87913	2,5286	1,11493	1,6461	3,55863	1,767	2,48037
17000	2,69043	1,40583	1,84367	2,4245	1,0602	1,55757	3,40347	1,71713	2,3763
17100	2,62607	1,3992	1,8133	2,44523	1,12167	1,60953	3,41437	1,80623	2,41433
17200	2,6114	1,36267	1,78163	2,45103	1,05703	1,55883	3,44533	1,72923	2,4054
17300	2,62957	1,40247	1,95453	2,47263	1,11833	1,5999	3,4686	1,7375	2,40773
17400	2,62123	1,38127	1,819	2,46797	1,0937	1,58093	3,5117	1,87693	2,45423
17500	2,65967	1,4156	1,80557	2,49663	1,1306	1,6214	3,525	1,95667	2,45957
17600	2,68677	1,4125	1,84503	2,52103	1,112	1,61313	3,6288	1,83713	2,4663
17700	2,6748	1,41653	1,83007	2,55237	1,12287	1,62137	3,54273	1,98487	2,47663
17800	2,6945	1,42577	1,8675	2,55377	1,1112	1,64373	3,59647	1,74687	2,50497
17900	2,71147	1,45933	1,87767	2,55703	1,15877	1,6621	3,61377	1,91343	2,54773
18000	2,7355	1,43417	1,89563	2,57183	1,16543	1,64347	3,6785	1,70977	2,5479
18100	2,756	1,4315	1,86047	2,6008	1,14563	1,6567	3,64277	1,8739	2,54577
18200	2,77067	1,4857	1,916	3,0452	2,4763	1,73953	3,72607	1,9749	2,59777
18300	2,8198	1,48457	1,91747	2,63907	1,19527	1,70307	3,69977	1,9458	2,57463
18400	2,83313	1,47567	1,94447	2,67877	1,1483	1,67097	3,72283	1,9433	2,5821
18500	2,80463	1,48177	1,94757	2,67993	1,18103	1,72367	3,72983	1,86967	2,60113
18600	2,8284	1,47903	1,93907	2,66333	1,18783	1,70567	3,73137	1,93327	2,71157
18700	2,84697	1,52937	2,0211	2,73443	1,24143	1,76527	3,88013	2,07783	2,70013
18800	2,93353	1,5496	1,9951	2,76723	1,20973	1,7504	3,8844	2,0042	2,7068
18900	2,9344	1,55573	2,01193	2,796	1,25597	1,7738	3,8428	2,15217	2,75127
19000	2,96677	1,56867	2,03403	2,81487	1,2351	1,83257	3,95483	2,02077	2,74817
19100	2,98583	1,59937	2,04413	2,8215	1,2661	1,82207	3,98813	2,07583	2,7806
19200	3,00597	1,5735	2,0841	2,8136	1,2116	1,83067	3,94527	2,06447	2,79957
19300	3,0177	1,6165	2,36833	2,8599	1,2179	1,8112	3,8977	2,0064	2,74077
19400	2,98887	1,59257	2,0518	2,80023	1,23863	1,80147	3,9437	1,9929	2,76027
